14	Which of the following HTTP status codes indicates that the request was successful and the server returned the requested data?	200	301	404	500	1	4
15	What will be the output of the following C++ code?\n`#include <iostream>\nusing namespace std;\n\nint main() {\n    int a = 5, b = 10, c = 15;\n    int x = (a > b) ? (b > c) ? b : c : (a > c) ? a : c;\n    cout << x;\n    return 0;\n}`	5	10	15	Compilation error	3	4
16	What programming concept is demonstrated in the following Python code snippet?\n`class Animal:\n    def make_sound(self):\n        print("Animal sound")\n\nclass Mammal(Animal):\n    def has_fur(self):\n        print("Has fur")\n\nclass Dog(Mammal):\n    def bark(self):\n        print("Woof!")`\n	Multilevel Inheritance	Multiple Inheritance	Hierarchical Inheritance	Single Inheritance	1	4
17	In a relational database, what is the purpose of a primary key?	A primary key is used to define the data type of a table and ensure that each record in the table is stored in sequential order based on the primary key values.	A primary key uniquely identifies each record in a table, ensuring that no two rows have the same primary key value, and it cannot contain NULL values.	A primary key is a special key that is used to group records together in a table, often used for sorting and filtering data efficiently.	A primary key is an optional field in a table that can be used to create a relationship between two or more tables in the database.	2	4
18	What is a candidate key in relational databases?	It is any group of keys that can be a candidate for uniquely identifying the tuple	It has information about candidates in a table	It is the minimal group of keys that can be a candidate for uniquely identifying the tuple	It is all the attributes in the table barring the primary key	3	4
19	Which of the following protocols is used for secure communication over an untrusted network like the Internet?	HTTP	FTP	SSH	Telnet	3	4
20	In Python, what will be the output of the following code snippet?\n`def func(x, y=[]):\n    y.append(x)\n    return y\n\nprint(func(1))\nprint(func(2))`	[1] [2]	[1] [1, 2]	[1, 2] [1, 2]	[1, 2] [2]	2	4
1	Given the numbers [999, 1000, 1001, 1002, 1003, 1004, 1005, 1006, 1007, 1008, 1009, 1010, 1011, 1012, 1013, 1014, 1015, 1016, 1017, 1018, 1019, 1020], find the maximum number of times you will have to remove sets of 3 numbers such that their greatest common divisor is 1 until there are no such sets remaining.	3	4	5	6	3	5
2	Which caching strategy involves storing the most recently used items in the cache?	FIFO (First-In, First-Out)	LFU (Least Frequently Used)	Random Replacement	LRU (Least Recently Used)	4	5
3	Which of the following is NOT a layer in the TCP/IP model?	Application layer	Transport layer	Presentation layer	Network layer	3	5
4	What is the primary benefit of using a message queue in system design?	To ensure data consistency	To improve database performance	To decouple components and enable asynchronous communication	To enable real-time communication	3	5
5	Which of the following is NOT a common architectural pattern used in system design?	Microservices	Monolithic	Layered	Waterfall	4	5
6	A Caesar Cipher is an encryption technique that was famously used by, you guessed it right, Julius Caesar! In this technique, you shift the input characters 3 places forward. "A" becomes "D" ("A"->"B"->"C"->"D"), "G" becomes "J" ("G"->"H"->"I"->"J") and "Z" becomes "C" ("Z"->"A"->"B"->"C") due to rotation. Thus, "TECH" would become "WHFK KXQW". Find the Caesar Cipher for the GFG motto. Make sure only Julius Caesar can decode the glorious motto of GFG!	OHDEQ, SUDFGLFH, NQG HKFRO	OHDUQ, SUDFWLFH, DQG HAFHO	YRNEA, CENPGVPR, NAQ RKPRY	YHNUA, SEDPWVFR, DAG RAPHY	2	5
7	Which of the following memory consistency models allows for out-of-order execution but ensures that all processes agree on the order of writes?	Sequential consistency	Causal consistency	Eventual consistency	Linearizability	1	5
8	The five items: A, B, C, D, and E are pushed in a stack, one after other starting from A. The stack is popped four items and each element is inserted in a queue. The two elements are dequeue from the queue and pushed back on the stack. Now one item is popped from the stack. The popped item is	B	C	A	D	4	5
9	On a chess board with only one pawn, in how many ways can the hypothetical pawn that can move to all the three squares in front of it and also two squares forward at a time go from E2 to E7?	51	82	101	142	2	5
10	Which company is widely recognized as a pioneer in the large-scale adoption and popularization of microservices architecture, and in what year did they begin this transition?	Amazon, 2006	eBay, 2011	Netflix, 2009	Google, 2008	3	5
11	Given two numbers `L` and `R`, your friend Chhakuli wants the maximum amount of numbers in ascending order she can fit into the given range (L and R inclusive) such that each number is bigger than the previous one and the difference of any two numbers is also greater than the difference of the previous two numbers. In short, the numbers keep on increasing and so does the difference between them, For example, the correct answer for `L=1` and `R=5` would be 3 (one of the set could be the numbers {1, 2, 5}). Chhakuli gives you `L=124` and `R=291`.	34	23	17	28	3	5
12	We all love Ganeshotsav! Gotya is organising a *limbu-chamcha* competitions. It so happened that Gotya got a generous funding from the CSE department of JNEC and thus was able to award a prize money of 5K to anyone who finished the race, irrespective of their finishing place. Bad move! Gotya got more registrations than the number of hair strands on his head. Gotya was really smart though. He devised a 2D race where he could accomodate many more players.\n\nIn Gotya's race, there is a 6X6 grid with sides A, B, C and D, in anticlockwise order. 6 contestants start from the side A and 6 from the side B (from behind the squares, not on them yet). The ones who start at A must reach C to complete the race and the ones who start at B, should reach D. Gotya records their speeds (in squares per second; if the speed is 2, then the contestant moves 2 squares every second and reaches the finish line after 4 seconds; if the speed is 1, 7 seconds are required to reach the finish line) and they are in anticlockwise order: {2, 1, 2, 3, 1, 2} for contestants at A and {1, 1, 3, 2, 2, 1} for B. If two contestants each from A and B are at the same square at the same time, they collide and are **immediately** out of the race. Note: collisions only occur if two contestants are at the same square at unit time and **not in any other case**. Find the number of contestants who make it to the end. Here's a diagram to make it easy for you to understand:	5	6	7	8	2	5
13	Black Widow and Hawkeye are on Vormir to get the Soul Stone. All of us know what happens next. This isn't that version of reality. Here, Dr Strange (in all his wisdom of infinity and probability) warns them that one of them is going to die. But, it can be prevented. They just have to play a little game on Vormir. If the ground 300 metres below is hit with a stone at a velocity `v` at the time of contact, it bounces the stone back up at a velocity `0.7v`. The stone can then bounce up any number of times on the ground, its velocity upon every subsequent bounce becoming 70% of its previous velocity. The stone will stop bouncing if the speed with which it hits the ground is less than 20 m/s. If the duo are able to make the stone bounce 7 times (the stone hitting the ground but not bouncing back up doesn't count) the normal stone will turn into the Soul Stone! They can even celebrate on the planet for some time with the local delicacy of Vormkarpale!\nBut,  but,  but,  but,  butttttt, if they fail, both of them die!! So tread carefully.\nYou have to determine the minimum velocity with which they have to throw the stone to get the Soul Stone back and heave a sigh of relief. Assume the gravity on Vormir is 5m/s<sup>2</sup> and there is negligible atmosphere	205m/s	101m/s	161m/s	229m/s	3	5
14	Who is the GOAT?	Not Ayush	Maybe Ayush	Definitely Ayush	Bakri	4	5
15	Select A	A	B	C	D	1	5
